Mcode,MKEY,KEY,Code,Industry,YEAR,IndustryY,RPA,TMP,POST,POST_RPA,BIG4,AIPOST,MLPOST,IMR,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,CFO,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,TotalSales,MarketShare,IndustryY_Count,LEV,OCF,MTB,INST,NOA,ZSCORE,LGTA,ROA,MS,Median_ROA,ADJROA,AC,A1,A2,A3,A4,PROD,R1,R2,R3,R4,R5,DA,DA1,ABCFO,ABPROD,ABOPCOST,ABEXP,Code_Count
1314,13142021,13042021,1304,M1300,2021,2021M1300,1,0,1,1,1,1,1,1.761482846,84825213,77324516,29180252,55644961,35367040,0.168789107,16279888,24471011,10365353,71755542,50201273,55656741,0.741103326,0.062991445,0.005990199,0.044084706,13599427,12919539,8933169,10079451,66.83,66.83,37505473,54001841,7599843,4296228,0.4781,1372735183,5.227194792,25,0.344004465,0.115528289,0.674013825,0.4781,0.796118737,2.624524476,18.25610338,0.130352591,5.227194792,0.067987185,0.062365406,0.014824302,1.29E-08,0.278750778,0.31647157,0.130352591,0.741103326,1.29E-08,0.927979194,0.278750778,-0.070552889,0.649228415,-0.023808989,-0.036001414,0.078091581,-0.0800206,-0.079426975,0.00671796,6
1314,13142022,13042022,1304,M1300,2022,2022M1300,1,0,1,1,1,1,1,1.630535396,77741569,84825213,26816684,50924885,31614950,0.098738697,15049390,25520104,11498415,66437122,71755542,50201273,0.649533141,0.061351511,0.006577543,0.051270433,12625207,912410,9749787,-61189,59.68,59.68,26271662,55496976,7199654,7599843,0.5808,1275708189,5.207862,25,0.344946524,0.114939729,0.515890453,0.5808,0.642213065,2.030152061,18.16890067,-0.000721354,5.207862,0.003856862,-0.004578216,-0.115661083,1.18E-08,-0.062698575,0.300855171,-0.000721354,0.649533141,1.18E-08,0.783223757,-0.062698575,0.25410215,0.845922332,-0.058672034,-0.068403316,0.031156462,-0.050682244,-0.050682244,0.005946265,6
1313,13132017,13122017,1312,M1300,2017,2017M1300,0,0,0,0,0,0,0,3.388334841,27999915,25005048,4515851,23484064,9474318,0.123716499,39403,7778233,2122753,23350965,19918739,20024959,0.797024625,0.05239614,0.001809433,0.012155472,10538796,4184513,4010789,3447650,46.23,46.23,28513199,19556980,2023166,1650507,0.7207,1146570154,2.036592782,24,0.161280882,0.160399172,1.214150966,0.7207,0.855855746,5.914350848,17.14771203,0.13787816,2.036592782,0.061792311,0.076085849,-0.022521013,4.00E-08,0.137261324,0.311066509,0.13787816,0.797024625,4.00E-08,0.933850037,0.137261324,-0.004247942,0.796588713,0.018347762,-0.085085513,0.089846112,-0.036119524,-0.036498313,6.82E-05,6
1313,13132018,13122018,1312,M1300,2018,2018M1300,0,0,0,0,0,0,0,2.54311764,29859901,27999915,4238927,25620974,10852015,0.102651026,5768,7427473,2729454,24741138,23350965,19918739,0.737266774,0.047018357,0.001573695,0.012242363,12608192,4058783,4576355,3150741,47.9,47.9,19809647,20685790,1980783,2023166,0.7223,1265984962,1.954299517,24,0.141960518,0.163441746,0.773180871,0.7223,0.817762768,4.992734522,17.21202703,0.112526806,1.954299517,0.026557275,0.085969531,-0.05091494,3.57E-08,0.049649186,0.265267698,0.112526806,0.737266774,3.57E-08,0.883614754,0.049649186,0.122579872,0.833965567,-0.038070037,-0.037487237,0.099306108,-0.07359532,-0.07395468,-0.008088036,6
1313,13132019,13122019,1312,M1300,2019,2019M1300,0,0,1,0,0,0,0,2.351530472,31486407,29859901,4254330,27232077,11627999,0.083674089,20953,6807341,3403383,20468229,24741138,23350965,0.58679076,0.042494381,0.001610691,0.014867725,14695878,2746867,3056778,2176211,50.63,50.63,16863132,17829140,1673157,1980783,0.8064,1079491060,1.896099908,25,0.135116401,0.102370668,0.61923782,0.8064,0.798718221,4.316785388,17.26506649,0.072880717,1.896099908,0.040700657,0.03218006,-0.02948995,3.35E-08,-0.143098566,0.227976007,0.072880717,0.58679076,3.35E-08,0.685475447,-0.143098566,0.046556517,0.828574013,-0.001410848,-0.007981068,0.035822379,-0.024700795,-0.024335909,-0.010405306,6
1313,13132020,13122020,1312,M1300,2020,2020M1300,0,0,1,0,0,0,0,2.121174386,36322368,31486407,5202031,31120337,13038671,0.078403039,840977,6380992,5235661,16575784,20468229,24741138,0.412842119,0.042879392,0.001799432,0.018798266,18797890,5117062,2834529,4320555,53.02,53.02,21532225,13468788,1203284,1673157,0.7437,937010977,1.769006384,25,0.143218388,0.090023895,0.691902051,0.7437,0.848799706,4.463950363,17.40794431,0.13721969,1.769006384,0.04030715,0.09691254,0.047195795,3.18E-08,-0.123623029,0.202658627,0.13721969,0.412842119,3.18E-08,0.526442538,-0.123623029,-0.135706465,0.650065566,0.01797153,-0.012899998,0.021210238,-0.04120342,-0.040841898,-0.00526936,6
1313,13132021,13122021,1312,M1300,2021,2021M1300,0,0,1,0,0,0,0,1.960323311,48912979,36322368,9682439,39230540,16548501,0.102014714,3656043,8669893,7038195,22547353,16575784,20468229,0.523172691,0.047625529,0.001716476,0.018871084,26282842,7366611,4449142,6076588,54.38,54.38,26019994,17904677,2301478,1203284,0.5729,1372735183,1.642512939,25,0.197952347,0.122490417,0.663258625,0.5729,0.986950741,3.610110271,17.70555334,0.167296031,1.642512939,0.067987185,0.099308846,0.044805614,2.75E-08,0.164404727,0.238692945,0.167296031,0.523172691,2.75E-08,0.620756692,0.164404727,-0.107163856,0.456351965,-0.00153721,-0.02139218,0.10263924,-0.044687217,-0.043960541,0.00038863,6
1313,13132022,13122022,1312,M1300,2022,2022M1300,0,0,1,0,0,0,0,1.810190764,60371545,48912979,24263704,36107841,17409343,0.05733239,17963602,18822036,6279477,18176626,22547353,16575784,0.33976254,0.03390415,0.001878016,0.020126342,23976823,60395,2154072,-454388,45.39,45.39,17089787,17305359,1614917,2301478,0.6175,1275708189,1.424826317,25,0.401906295,0.044038863,0.4732985,0.6175,0.977081482,1.534918934,17.91602844,-0.009289722,1.424826317,0.003856862,-0.013146584,-0.053328586,2.04E-08,-0.089357203,0.384806577,-0.009289722,0.33976254,2.04E-08,0.37161151,-0.089357203,0.122085572,0.460968713,0.018047589,0.007824248,-0.022634867,0.015010249,0.015010249,-0.005201919,6
1312,13122017,13132017,1313,M1300,2017,2017M1300,1,0,0,0,1,0,0,3.246795929,45009979,36398317,23746073,21263906,20601738,0.215426911,18195337,15459853,6471303,50600125,42392012,43647964,1.348261734,0.051250694,0,0.018360804,6038556,3304054,1274891,2342413,48.81,48.81,22551672,46739774,7601388,5266704,0.609,1146570154,4.413173047,24,0.527573519,0.035026097,1.060561122,0.609,0.906303992,2.271427124,17.62239478,0.064354981,4.413173047,0.061792311,0.00256267,0.029328884,2.75E-08,0.225508037,0.424740875,0.064354981,1.348261734,2.75E-08,1.390177601,0.225508037,-0.034505771,1.164669564,0.042145032,0.005270291,-0.038864428,0.083873844,0.083817347,-0.015003686,6
1312,13122018,13132018,1313,M1300,2018,2018M1300,1,0,0,0,1,0,0,2.360486761,45769849,45009979,25995786,19774063,20662769,0.13850002,19986690,17072617,4892316,61258498,50600125,42392012,1.304980013,0.05164026,0,0.021511236,5190730,1387310,634253,753610,55.15,55.15,15009484,57855885,8482626,7601388,0.6464,1265984962,4.838801395,24,0.567967484,0.014091386,0.759049063,0.6464,0.774682365,2.209317951,17.63913611,0.016743176,4.838801395,0.026557275,-0.009814099,0.00265179,2.22E-08,0.236800222,0.379307375,0.016743176,1.304980013,2.22E-08,1.360998147,0.236800222,0.182362071,1.124197925,-0.049637951,-0.050659594,-0.048205735,0.080838383,0.081087775,-0.011770069,6
1312,13122019,13132019,1313,M1300,2019,2019M1300,1,1,1,1,1,0,0,2.026168546,45156997,45769849,24585281,20571716,18684583,0.123806045,18244775,16362557,5324973,62714942,61258498,50600125,1.285302165,0.05276928,0,0.024085967,4401136,226154,4387768,-140376,54.78,54.78,14789052,60653888,6656824,8482626,0.684,1079491060,5.80967683,25,0.544440123,0.095865905,0.718902205,0.684,0.731737568,2.116445248,17.6256558,-0.003066997,5.80967683,0.040700657,-0.043767654,-0.098932902,2.18E-08,0.031821036,0.357496416,-0.003066997,1.285302165,2.18E-08,1.370223922,0.031821036,0.23286887,1.338402886,-0.071847859,-0.064212692,-0.057508561,0.121185108,0.122251304,-0.014258282,6
1312,13122020,13132020,1313,M1300,2020,2020M1300,1,1,1,1,1,0,0,1.898033648,44200637,45156997,19245936,24954701,16739193,0.095976378,14223530,15725460,3623866,51866839,62714942,61258498,1.02863977,0.052295351,0,0.02588251,6555946,2957324,3448194,2134320,48.04,48.04,25581062,47232128,5874979,6656824,0.6653,937010977,5.535350201,25,0.435422141,0.076360126,1.02509992,0.6653,0.787350076,2.69309204,17.60424976,0.047264436,5.535350201,0.04030715,0.006957286,-0.02909569,2.21E-08,-0.240230833,0.34823972,0.047264436,1.02863977,2.21E-08,1.148589199,-0.240230833,0.032252898,1.388820032,-0.017467725,-0.03301918,-0.090544218,0.126398857,0.127707773,-0.014182391,6
1312,13122021,13132021,1313,M1300,2021,2021M1300,1,0,1,1,1,0,0,1.686256144,53771844,44200637,23875107,29896737,22296269,0.126945365,17814721,15711926,4344203,81942428,51866839,62714942,1.800026027,0.060874394,0,0.019641595,7837286,3002564,-53139,2147462,54.64,54.64,29113711,76803852,8633424,5874979,0.6338,1372735183,5.969281549,25,0.444007593,-0.001202222,0.973808981,0.6338,0.981145475,2.948446468,17.80026054,0.048584413,5.969281549,0.067987185,-0.019402772,0.049786635,2.26E-08,0.680433384,0.355468316,0.048584413,1.800026027,2.26E-08,1.853874368,0.680433384,-0.245428658,1.173440985,-0.00481439,0.01464151,-0.093682021,0.156481459,0.156712714,-0.021339378,6
1312,13122022,13132022,1313,M1300,2022,2022M1300,1,1,1,1,1,0,0,1.447931576,50562422,53771844,24456220,26106202,19881526,0.187133084,19726680,16135794,4244635,72819643,81942428,51866839,1.352662371,0.050521533,0,0.022728277,5382851,-1434447,673203,-1236224,43.75,43.75,18431631,72475633,8892941,8633424,0.6994,1275708189,5.708173987,25,0.483683713,0.012519619,0.70602499,0.6994,0.77342051,2.082716678,17.73871921,-0.022990173,5.708173987,0.003856862,-0.026847035,-0.035509792,1.86E-08,-0.169657284,0.300078867,-0.022990173,1.352662371,1.86E-08,1.354233695,-0.169657284,0.559318535,1.523890979,0.036880915,0.013512189,-0.120373879,0.122869302,0.122869302,-0.034653915,6
1304,13042017,13142017,1314,M1300,2017,2017M1300,0,0,0,0,1,0,0,3.381546874,81628960,76455265,19080501,62548459,18839149,0.052209603,3819047,16935430,10111495,33335970,25376683,26155995,0.37492535,0.023380273,0.007089879,0.01883089,35229878,6486137,3502857,6087322,30.58,30.58,41442805,27964951,2281084,1581018,0.2278,1146570154,2.9074514,24,0.233746712,0.045815772,0.662571159,0.2278,0.735802969,2.792608667,18.21769466,0.079619396,2.9074514,0.061792311,0.017827085,0.033803624,1.31E-08,0.104103844,0.221507701,0.079619396,0.37492535,1.31E-08,0.436019285,0.104103844,-0.010193046,0.331915441,0.113308766,0.050078275,-0.018764138,-0.013519525,-0.014295398,-0.008503998,6
1304,13042018,13142018,1314,M1300,2018,2018M1300,0,0,0,0,1,0,0,2.530504806,89704954,81628960,22514200,67190754,21622587,0.0805391,5937391,19501534,13469938,38503121,33335970,25376683,0.407817458,0.025739358,0.008711917,0.020635158,40374642,4756466,6277245,4280995,31.43,31.43,29563434,33326959,2243840,2281084,0.2892,1265984962,3.0413569,24,0.250980565,0.07689973,0.439992592,0.2892,0.730846099,2.211253928,18.31203655,0.052444561,3.0413569,0.026557275,0.025887287,-0.024455169,1.23E-08,0.063300463,0.2389046,0.052444561,0.407817458,1.23E-08,0.471684571,0.063300463,0.097505677,0.408384108,-0.014892918,-0.015097739,0.028445222,-0.029381629,-0.029946588,-0.015151732,6
1304,13042019,13142019,1314,M1300,2019,2019M1300,0,0,0,0,1,0,0,2.209737241,96468490,89704954,29274626,67193864,23986973,0.058607298,16462238,20275279,9116253,29624094,38503121,33335970,0.395241627,0.022703317,0.013558389,0.025273009,39406739,2003931,-8403512,1733635,33.23,33.23,27781530,27996514,9702458,2243840,0.3204,1079491060,2.744264876,25,0.303463089,-0.093679464,0.413453377,0.3204,0.830944621,1.706567948,18.38472698,0.019325967,2.744264876,0.040700657,-0.02137469,0.113005431,1.11E-08,-0.098980342,0.226021843,0.019325967,0.395241627,1.11E-08,0.33023922,-0.098980342,0.057601624,0.429219561,0.134358561,0.139386093,-0.122234798,0.093249532,0.093730144,-0.017999277,6
1304,13042020,13142020,1314,M1300,2020,2020M1300,0,0,1,0,1,0,0,1.948337581,104909990,96468490,34041959,70868031,27089168,0.053213168,22175595,23226955,7479899,17583092,29624094,38503121,0.212591334,0.019188711,0.025153653,0.03434305,39200786,325481,-4140048,674660,83.98,83.98,38268503,17544864,12665959,9702458,0.2935,937010977,1.876508646,25,0.324487296,-0.042916065,0.539996702,0.2935,0.886960364,1.585248286,18.4686133,0.006993579,1.876508646,0.04030715,-0.033313571,0.049909644,1.04E-08,-0.124817979,0.240772453,0.006993579,0.212591334,1.04E-08,0.182267723,-0.124817979,-0.092040696,0.307085702,0.031919223,0.071283232,-0.029841207,0.003579457,0.003908791,-0.019144678,6
1304,13042021,13142021,1314,M1300,2021,2021M1300,0,0,1,0,1,0,0,1.875323217,135241310,104909990,54926788,80314522,57355445,0.07625291,39523362,25119743,7650122,35163380,17583092,29624094,0.568526725,0.024611364,0.013137616,0.025628509,42517493,4201787,-29660642,3484655,241.22,241.22,49770778,30178509,42131583,12665959,0.2362,1372735183,2.561555968,25,0.40613913,-0.282724667,0.619698365,0.2362,1.069371582,1.671257999,18.72257122,0.033215664,2.561555968,0.067987185,-0.03477152,0.315940331,9.53E-09,0.167574966,0.239440905,0.033215664,0.568526725,9.53E-09,0.33517666,0.167574966,-0.114774599,0.167601694,0.270773495,0.280902135,-0.289276174,0.244545907,0.244925355,-0.007983013,6
1304,13042022,13142022,1314,M1300,2022,2022M1300,0,0,1,0,1,0,0,1.6385165,141122929,135241310,61604680,79518249,64599053,0.069085304,47248294,27190100,6824456,25027795,35163380,17583092,0.237142978,0.019316524,0.01645954,0.048700774,40937972,1179011,-9213169,205397,341.85,341.85,37394318,26261243,47941867,42131583,0.2026,1275708189,1.961874605,25,0.436532039,-0.068123926,0.470260833,0.2026,0.886874632,1.308844841,18.76514191,0.001518745,1.961874605,0.003856862,-0.002338117,0.069642671,7.39E-09,-0.074944446,0.201048777,0.001518745,0.237142978,7.39E-09,0.185060282,-0.074944446,0.129991997,0.260004728,0.115699798,0.101603014,-0.123740007,0.076338359,0.076338359,-0.010432446,6
1303,13032017,13262017,1326,M1300,2017,2017M1300,0,0,0,0,1,0,0,2.871331799,572326493,544436590,153825417,418501076,253842403,0.108672086,100861251,125345618,29684599,358421471,319204627,329349307,0.554420892,0.026232877,0,0.024176395,181832657,69029587,71240159,60035946,61.94,61.94,603702158,305225269,38837031,42215280,0.7958,1146570154,31.26031754,24,0.268772141,0.130851159,1.442534303,0.7958,0.899421047,4.183230523,20.16522018,0.110271696,31.26031754,0.061792311,0.048479385,-0.020579464,1.84E-09,0.072031977,0.230229967,0.110271696,0.554420892,1.84E-09,0.658334648,0.072031977,-0.018633355,0.586302671,0.049216157,-0.032707102,0.059821302,-0.025378664,-0.025165213,-0.015102563,6
1303,13032018,13262018,1326,M1300,2018,2018M1300,0,0,0,0,1,0,0,2.039806896,591500932,572326493,158178433,433322499,255009546,0.129799294,105596039,129098640,31209809,407859765,358421471,319204627,0.625264728,0.026597189,0,0.022537759,193718209,66015944,60591316,55441018,57.65,57.65,615424530,354287425,42405175,38837031,0.8308,1265984962,32.21679382,24,0.267418738,0.105868445,1.420245963,0.8308,0.887096326,4.152584367,20.19817382,0.096869564,32.21679382,0.026557275,0.07031229,-0.008998881,1.75E-09,0.086381278,0.225568171,0.096869564,0.625264728,1.75E-09,0.712634781,0.086381278,0.068521804,0.626253503,-0.006761189,-0.006595573,0.049942058,-0.010443096,-0.010169502,-0.020509928,6
1303,13032019,13262019,1326,M1300,2019,2019M1300,0,0,0,0,1,0,0,1.851815636,550549017,591500932,141258054,409290963,226182634,0.092583195,99667558,124671052,15099252,315384595,407859765,358421471,0.477142386,0.02625486,0,0.030006399,186526961,38940368,59012528,33244103,55.83,55.83,512853775,283366077,41269264,42405175,0.8404,1079491060,29.21604511,25,0.256576707,0.09976743,1.253029804,0.8404,0.834925597,3.762035254,20.12642655,0.05620296,29.21604511,0.040700657,0.015502303,-0.043564471,1.69E-09,-0.156339855,0.210770677,0.05620296,0.477142386,1.69E-09,0.533193741,-0.156339855,0.083581092,0.689533597,-0.016626441,-0.019161018,0.050437351,-0.006054134,-0.005592598,-0.021535054,6
1303,13032020,13262020,1326,M1300,2020,2020M1300,0,0,0,0,1,0,0,1.644720424,531820428,550549017,136367899,395452529,215865015,0.097839628,94082249,127268960,17127127,253294668,315384595,407859765,0.391502185,0.02580778,0,0.035021385,184043516,26061574,46212769,21554193,70.1,70.1,496442454,223762600,33047807,41269264,0.838,937010977,27.03219858,25,0.256417189,0.083939427,1.255378124,0.838,0.858066469,3.628099093,20.09181645,0.039150361,27.03219858,0.04030715,-0.001156789,-0.044789066,1.82E-09,-0.1127782,0.231167355,0.039150361,0.391502185,1.82E-09,0.460076506,-0.1127782,-0.167969004,0.572854706,-0.065666933,-0.03973897,0.024256596,-0.016956025,-0.016575063,-0.018862431,6
1303,13032021,13262021,1326,M1300,2021,2021M1300,0,0,1,0,1,1,0,1.491715099,598345271,531820428,154364317,443980954,246631027,0.12572317,103078695,130897801,23062097,365812098,253294668,315384595,0.61397866,0.035736954,0,0.035102601,208492621,51207949,38729208,42707431,75.36,75.36,473583829,312373726,47200475,33047807,0.7995,1372735183,26.64840987,25,0.257985355,0.072823844,1.066676002,0.7995,0.985290381,3.546723194,20.20967852,0.080304232,26.64840987,0.067987185,0.012317047,0.007480388,1.88E-09,0.211570342,0.246131578,0.080304232,0.61397866,1.88E-09,0.687848903,0.211570342,-0.116749797,0.476278561,-0.038441122,-0.037814199,0.048618838,-0.012797018,-0.012000182,-0.011758662,6
1303,13032022,13262022,1326,M1300,2022,2022M1300,0,0,1,0,1,1,0,1.404678977,555546296,598345271,182182164,373364132,226085090,0.134304397,139746630,142861143,34374411,379896563,365812098,253294668,0.615683176,0.030130488,0,0.031597122,188090723,11387227,32732255,9203861,58.73,58.73,413213613,367154202,48437390,47200475,0.7995,1275708189,29.7792682,25,0.327933361,0.054704627,1.106730876,0.7995,0.800100501,2.822077242,20.1354625,0.015382191,29.7792682,0.003856862,0.011525329,-0.039322437,1.67E-09,0.023539026,0.238760378,0.015382191,0.615683176,1.67E-09,0.63491195,0.023539026,0.188047663,0.611372924,-0.002649329,-0.005553206,-0.006089456,0.050863058,0.050863058,-0.01460075,6
1434,14342017,14022017,1402,M1400,2017,2017M1400,1,0,0,0,1,0,0,2.87598278,516766280,513460158,261227187,255539093,100053197,0.137685528,193529813,152732987,25464223,217846948,215855921,217948202,0.336206002,0.066732521,0.003733185,0.102486513,141693400,19498167,29789070,14201337,56.63,56.63,143457050,168148743,26582952,22103308,0.8405,525579162,41.44893172,49,0.505503546,0.058016322,0.561389838,0.8405,0.825000103,1.25575335,20.06310126,0.027658109,41.44893172,0.021405222,0.006252887,-0.030358213,1.95E-09,0.003877666,0.297458302,0.027658109,0.336206002,1.95E-09,0.42427235,0.003877666,-0.004074865,0.420394684,0.011146239,0.004566663,0.007862924,-0.085351539,-0.086582371,0.026452461,6
